time,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,root_lin_vel_x,root_lin_vel_y,root_lin_vel_z,root_ang_vel_x,root_ang_vel_y,root_ang_vel_z,lumbar_yaw_joint,lumbar_roll_joint,lumbar_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_pitch_joint,left_elbow_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_pitch_joint,right_elbow_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_pitch_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_pitch_joint,right_ankle_pitch_joint,right_ankle_roll_joint,lumbar_yaw_vel,lumbar_roll_vel,lumbar_pitch_vel,left_shoulder_pitch_vel,left_shoulder_roll_vel,left_shoulder_yaw_vel,left_elbow_pitch_vel,left_elbow_yaw_vel,left_wrist_pitch_vel,left_wrist_roll_vel,right_shoulder_pitch_vel,right_shoulder_roll_vel,right_shoulder_yaw_vel,right_elbow_pitch_vel,right_elbow_yaw_vel,right_wrist_pitch_vel,right_wrist_roll_vel,left_hip_pitch_vel,left_hip_roll_vel,left_hip_yaw_vel,left_knee_pitch_vel,left_ankle_pitch_vel,left_ankle_roll_vel,right_hip_pitch_vel,right_hip_roll_vel,right_hip_yaw_vel,right_knee_pitch_vel,right_ankle_pitch_vel,right_ankle_roll_vel
0.0,-0.002182,0.022327,0.617897,0.9060384041516144,0.0353720151620802,0.0305970141402004,0.4206032019272719,0.06346,0.205146,0.097037,-0.179583,-0.041533,-0.171358,0.704135,0.016613,-0.110219,0.154395,-0.072362,0.470767,0.198862,0.007941,0.0,0.0,-0.156507,-0.080209,0.654353,0.177029,0.004934,0.0,0.0,0.370413,-0.13779,0.709049,0.126784,-0.00863,-0.241372667,0.560208,0.096614,-0.190644,0.050529,0.160375765,-0.146468667,-0.714062,0.198449,-0.177513,-0.055255,0.910064,0.548979,-0.082897,0.028275,0.0,0.0,0.527775,0.812951,-1.095849,-0.213651,0.05505,0.0,0.0,-0.470755,0.05838,-0.739721,0.377078,0.914128,1.170601,1.127242,0.548501,-2.429901,-0.243772,-0.273832,-0.040772
0.02,-0.0009128007537574,0.026429917527275,0.6198377327585117,0.9068325004957136,0.0336225509097235,0.0309153337902311,0.4190090479353078,0.067971,0.222093,0.098987,-0.179971,-0.043738,-0.160102,0.6898537695113545,0.0205819797795703,-0.1137692654887111,0.1532899026764463,-0.0541607251601785,0.4817465758033631,0.1972040625119273,0.0085064914798569,0.0,0.0,-0.145951508413741,-0.0639499738458046,0.6324360142730686,0.172755981718469,0.0060349946207958,0.0,0.0,0.3609979023332614,-0.1366224027941172,0.6942545856200623,0.1343255520652773,0.0096525526196504,-0.2179606378817285,0.582752844714689,0.1075840183606358,-0.2392420264811215,0.0456535661724168,0.1548991174620922,-0.1472841163532721,-0.769315,0.207156,-0.164112,-0.072613,0.871016,0.562397,-0.083542,0.027153,0.0,0.0,0.550234,0.767388,-1.173404,-0.23778,0.052945,0.0,0.0,-0.531204,0.072756,-0.746463,0.390507,0.934877,1.22069,1.078797,0.57333,-2.45256,-0.0601,-0.274393,-0.044041
0.04,0.0005368592430318,0.0312107127708885,0.621856480449722,0.90752845116798,0.0318404059150449,0.0312042877569202,0.4176177574019044,0.072494,0.238799,0.100578,-0.181152,-0.050313,-0.126328,0.6733623815565465,0.0248992496915192,-0.1167834640336742,0.1514904800807211,-0.0375213771049914,0.4932628818284041,0.1955203299239686,0.009027102774402,0.0,0.0,-0.134497638269188,-0.0495134865352134,0.6074168339435067,0.1675178161563833,0.0070518078928697,0.0,0.0,0.3491648550609915,-0.1348797654900623,0.6791904724402382,0.1424042656038314,0.028765073468712,-0.1925450781732829,0.6033598933713015,0.1195472126376252,-0.2887464101527017,0.0481250169591362,0.1494000406193796,-0.148230324749889,-0.82313,0.218129,-0.151142,-0.092051,0.79676,0.575341,-0.084042,0.025212,0.0,0.0,0.570928,0.665324,-1.254015,-0.262652,0.050316,0.0,0.0,-0.590321,0.088354,-0.752047,0.405732,0.955332,1.271492,1.066937,0.597853,-2.476136,0.099164,-0.274171,-0.047256
0.06,0.0019869683779812,0.0359818579693449,0.6238608446836706,0.9080348463156724,0.0299931581889232,0.031434738653577,0.416635314806737,0.069663,0.227358,0.098318,-0.183699,-0.064054,-0.055023,0.6569285531561071,0.0293071516630084,-0.119814962126414,0.1496078724877239,-0.0222903420977611,0.5047602163871296,0.193842393882714,0.0095149742656034,0.0,0.0,-0.1231143741205173,-0.0373369944510116,0.5822753987101028,0.1622498829688867,0.0080476473977101,0.0,0.0,0.337385074398156,-0.1330882282029679,0.6641727026297027,0.1505548306298676,0.047865828267963,-0.1671009425560892,0.6254303283823557,0.1314981353136873,-0.3382874816887747,0.0496201129094006,0.1439322847803399,-0.1491743428151334,-0.783975,0.219043,-0.160877,-0.086945,0.721485,0.565478,-0.083221,0.023598,0.0,0.0,0.551659,0.533676,-1.213483,-0.249455,0.050162,0.0,0.0,-0.548174,0.082705,-0.744475,0.402314,0.941328,1.241735,1.201592,0.581224,-2.464363,-0.086708,-0.27159,-0.045026
0.08,0.0033233825538436,0.040305030357179,0.6257891835864811,0.9081377250984896,0.0280051709299286,0.0315387318222404,0.4165415838174749,0.080267,0.266426,0.101914,-0.186347,-0.078066,0.018165,0.6420033800596183,0.0336609511228157,-0.1232185245608611,0.1480126843823867,-0.0086619824192718,0.5158819884633125,0.1921915012057018,0.0099710258370643,0.0,0.0,-0.1124312899848783,-0.0281664648456077,0.5588775033440886,0.1575396290180457,0.0090582795495286,0.0,0.0,0.3272378974243851,-0.1315715609540613,0.6494114648505007,0.1584968385015087,0.0664181934744725,-0.1428756637784042,0.6514235702086203,0.1427961620165604,-0.387320930269729,0.0446566953741233,0.138536451821148,-0.1500313448356636,-0.909596,0.245537,-0.13063,-0.133215,0.535361,0.595651,-0.084344,0.018769,0.0,0.0,0.599552,0.275067,-1.40346,-0.308003,0.04382,0.0,0.0,-0.686263,0.119681,-0.757158,0.438613,0.989166,1.361043,1.185518,0.63859,-2.519931,0.279002,-0.2708,-0.05254
0.1,0.005197668,0.046638917,0.6279374,0.9080369560448384,0.0259467601727286,0.0315794302102255,0.4168913427752622,0.124238,0.43241,0.119609,-0.115548,-0.208933,0.62412,0.6205447300000001,0.03912865,-0.12504017,0.14427929,-0.000875884,0.5285862700000001,0.1904686399999999,0.010265739,0.0,0.0,-0.09913231,-0.026334306,0.526137,0.14992978,0.009800467,0.0,0.0,0.30993456,-0.1283009799999999,0.6338863999999998,0.16809936,0.08743246,-0.112659227,0.67285105,0.15704174,-0.43908474,0.06078019,0.133100293,-0.151275943,-1.450433,0.327381,0.0073,-0.304548,0.139659,0.720056,-0.089478,0.007497,0.0,0.0,0.815652,-0.169815,-2.156428,-0.544768,0.022088,0.0,0.0,-1.28343,0.261707,-0.811583,0.564672,1.180077,1.839843,0.668086,0.87678,-2.700713,2.120052,-0.271665,-0.084423
0.12,0.0082928827217988,0.0576014501080091,0.6305735435676711,0.9030566413106912,0.0237685168836193,0.0290292499451842,0.4278797294070226,0.156624,0.560228,0.125142,-0.021222,-0.330661,1.199695,0.5839860517037989,0.0467561758426853,-0.1229265268077354,0.1358307806531001,-0.0030756025688108,0.5446842386799418,0.1886123970746827,0.0102708956616115,0.0,0.0,-0.079805229002691,-0.0349590557172453,0.4726203855912265,0.1357489021716885,0.0099417808435667,0.0,0.0,0.2759007119687935,-0.1211032919922977,0.6169481571779881,0.1810837134062717,0.1136212824006981,-0.0692819448262788,0.6781470170715695,0.1778673515245331,-0.4953494672563345,0.1294587807245636,0.1276698336406787,-0.1534082471933022,-1.865864,0.365655,0.155135,-0.441303,-0.195498,0.772778,-0.086288,-0.001734,0.0,0.0,0.960153,-0.421655,-2.689012,-0.728225,-0.000782,0.0,0.0,-1.775602,0.376586,-0.783241,0.624981,1.250856,2.133476,-0.033279,1.029069,-2.58332,3.814559,-0.244816,-0.108133
0.14,0.0114626203684864,0.069048022221216,0.6329430686483312,0.8979741658291184,0.0220373302042225,0.0263592870738877,0.4387048456148226,0.138671,0.5063,0.097988,0.046605,-0.316626,1.181909,0.5459101869145652,0.0537548399877151,-0.1188347819891553,0.1266271625413825,-0.008695788556633,0.5594973934971645,0.1870171343838416,0.0101963817859421,0.0,0.0,-0.0607261939500475,-0.043200525813203,0.4185765007167182,0.1208007904457029,0.0097691881365545,0.0,0.0,0.2389104926782079,-0.1132375338076678,0.6025567525179831,0.1930986127498936,0.1374666996594875,-0.0273201920090132,0.6715199063069461,0.1982045105907098,-0.5424175277593244,0.2133625509609635,0.1233076533673563,-0.1556012519761363,-1.686422,0.281181,0.215525,-0.404692,-0.241256,0.620073,-0.066008,-0.001799,0.0,0.0,0.830157,-0.213586,-2.328962,-0.655563,-0.010853,0.0,0.0,-1.662605,0.348096,-0.58334,0.492873,0.993772,1.785854,-0.502953,0.865323,-1.865855,3.790303,-0.172443,-0.094992
0.16,0.0138397179306733,0.0778534454045903,0.6344930666241511,0.8928355034318827,0.0212043884191598,0.0234548956137549,0.4492716389836486,0.105932,0.400826,0.061171,0.134282,-0.298208,1.152327,0.5165291875397204,0.0580034230814726,-0.114305518237208,0.1196431135491816,-0.0127258431595475,0.5694871674995363,0.1859720931203969,0.010198921263636,0.0,0.0,-0.046598930604707,-0.0435025071756984,0.3794619051699264,0.1095263713981483,0.0095076605285347,0.0,0.0,0.2093965273036708,-0.1071794511953665,0.5936145507933205,0.200798614430055,0.1533721495600112,0.0021522167402049,0.6580288972052081,0.21248027340787,-0.569983683015703,0.2810709073679956,0.1207721106187881,-0.1572079094918394,-1.340426,0.154808,0.255059,-0.319774,-0.196741,0.399985,-0.040153,0.000802,0.0,0.0,0.62047,0.11469,-1.691361,-0.505477,-0.017699,0.0,0.0,-1.381259,0.278272,-0.327105,0.293712,0.633705,1.235186,-0.828216,0.588877,-0.928793,3.090822,-0.084873,-0.069533
0.18,0.0156998971271841,0.085081067165696,0.6353898923192256,0.8877060659463989,0.0212151613048139,0.020316469540708,0.4594726308260154,0.087463,0.345484,0.035951,0.197981,-0.284628,1.125734,0.4922931518197217,0.0599471599625625,-0.1086324060728612,0.1138361863771943,-0.0165654245604847,0.5754967893596918,0.1854110051410595,0.0102284472471068,0.0,0.0,-0.0359074084674214,-0.0386129093825566,0.3509220564823725,0.1005817120371977,0.0090612440909948,0.0,0.0,0.1836601369301433,-0.1021066675621332,0.5894725598752805,0.2048470903299262,0.1628148829557031,0.0220872577687516,0.6383912701740876,0.2217595836949283,-0.5795692322007537,0.3369954332641836,0.1199127138452676,-0.1583825818693288,-1.160221,0.064848,0.309207,-0.274883,-0.180121,0.252408,-0.022426,0.002781,0.0,0.0,0.495876,0.356685,-1.305294,-0.423383,-0.024861,0.0,0.0,-1.257974,0.243764,-0.141645,0.156898,0.387921,0.88445,-0.977576,0.416985,-0.240807,2.609755,-0.018071,-0.054255
